source,target,capacity
0,79,1
1,0,4
1,10,45
2,53,18
2,58,10
3,15,37
3,59,38
3,81,49
3,88,29
4,16,25
4,46,27
5,91,13
6,40,25
7,48,11
7,77,42
8,71,16
9,19,31
9,20,25
9,35,17
9,86,13
10,0,40
10,28,14
10,53,12
11,73,45
12,11,35
12,55,5
12,85,8
13,4,38
13,29,24
13,46,15
13,75,30
14,69,41
14,73,37
15,
16,46,2
16,54,33
17,2,1
17,16,31
17,58,15
18,8,39
18,37,3
18,71,34
18,76,39
18,94,14
19,85,10
20,7,11
20,48,1
21,32,7
21,61,2
21,72,42
22,
23,
24,0,2
24,1,50
24,21,35
25,2,26
25,53,33
25,61,38
26,5,10
27,5,22
27,26,19
27,49,46
28,8,30
28,18,18
29,4,20
30,12,21
30,74,49
31,8,24
31,10,6
31,18,6
32,0,48
32,1,2
32,2,40
32,10,41
32,24,44
33,30,35
33,92,33
34,8,40
34,28,30
34,71,35
34,94,27
35,20,38
36,2,46
36,16,46
36,17,29
37,5,31
37,26,21
37,27,14
37,31,36
38,30,5
38,74,14
39,57,22
40,3,13
40,15,44
41,
42,
43,23,37
43,69,37
44,38,2
44,99,2
45,23,3
45,43,11
45,64,6
45,69,21
46,21,25
47,11,45
47,19,23
47,67,4
47,85,36
48,35,6
48,77,42
49,5,16
49,26,25
49,37,35
50,4,28
50,13,31
50,46,38
50,60,32
50,72,14
50,90,4
51,5,26
51,7,13
51,20,19
51,26,19
52,23,23
52,43,2
52,45,34
52,84,11
53,0,22
53,1,21
53,21,15
53,24,43
53,32,14
53,79,6
54,4,37
54,13,17
54,29,43
55,3,32
55,15,27
55,30,19
55,38,33
55,44,6
56,3,32
56,15,49
56,40,7
56,81,50
57,
58,36,13
58,61,22
59,12,48
59,15,24
59,55,23
59,56,10
59,97,39
60,4,4
60,13,19
61,2,18
61,17,20
61,32,42
61,53,30
62,15,44
62,56,47
62,78,13
62,87,43
63,14,20
64,23,14
64,43,31
64,52,18
65,30,19
65,33,4
65,38,29
65,44,42
65,55,49
66,30,18
66,33,16
66,54,5
66,65,40
67,9,23
67,19,30
67,35,33
67,86,14
68,90,43
69,23,48
69,52,32
69,64,44
70,1,50
70,10,4
70,28,43
70,34,16
71,28,13
71,31,21
71,89,50
72,4,17
72,13,36
72,46,40
72,60,39
73,63,15
73,69,10
74,44,3
74,55,39
74,65,6
75,4,40
75,21,38
75,46,40
75,50,24
75,60,34
75,72,36
76,8,25
76,10,31
76,25,50
76,28,46
76,31,47
76,94,44
77,20,28
77,35,26
77,51,2
78,6,38
78,40,45
78,81,24
78,82,43
79,1,23
79,10,39
79,25,28
79,32,33
79,61,23
79,76,16
80,40,26
81,15,48
81,40,18
81,62,24
82,6,46
83,41,8
84,22,47
84,23,39
84,43,30
84,45,27
84,64,43
85,11,39
86,19,19
86,47,47
86,85,15
87,3,16
87,15,46
87,40,18
87,56,34
87,78,26
87,81,8
88,6,49
88,15,31
88,40,37
88,56,15
88,80,30
88,97,3
89,8,48
89,18,36
89,28,6
89,34,35
89,70,33
89,76,24
90,13,36
90,60,26
91,18,4
91,26,14
91,27,44
91,31,12
91,37,34
91,49,16
91,76,19
92,30,42
92,38,26
92,65,49
92,66,22
92,74,38
93,6,32
93,40,19
93,80,28
93,88,10
94,8,32
94,28,49
94,31,30
94,71,33
94,89,30
94,91,8
95,25,21
95,31,31
95,91,2
96,22,33
96,43,14
96,52,26
96,84,21
97,3,35
97,15,24
97,40,19
97,55,22
97,56,24
97,87,8
98,21,22
98,24,26
98,72,2
98,75,25
99,74,29
