source,target,capacity
0,4,2
0,40,1
0,178,1
1,21,2
1,27,1
1,80,1
2,132,1
3,83,1
3,123,2
3,183,2
4,40,1
5,151,1
6,107,1
7,172,1
8,
9,124,1
10,112,1
11,175,2
11,177,2
12,113,2
13,11,2
13,47,2
14,
15,2,1
16,166,1
16,190,1
17,3,1
17,39,1
17,56,1
17,123,2
17,145,1
17,170,2
17,183,2
18,0,1
18,4,2
18,178,1
19,50,2
20,136,2
21,162,1
21,189,1
21,191,1
22,53,1
23,51,2
23,87,1
24,
25,
26,19,2
27,
28,19,1
28,26,2
29,
30,0,1
30,16,1
30,166,2
30,190,2
31,
32,
33,119,2
33,125,2
33,172,2
34,5,1
34,65,1
35,19,1
35,26,2
35,28,2
36,12,1
36,31,2
37,117,2
37,192,1
38,23,2
38,96,2
38,198,2
39,3,2
39,37,1
39,56,2
40,30,2
40,166,1
41,7,2
41,94,1
42,109,1
42,157,1
43,0,2
43,4,1
43,18,2
43,40,2
43,130,2
44,24,1
44,25,2
45,29,2
46,8,1
46,34,2
46,122,1
47,11,1
48,0,1
48,4,1
48,18,1
48,30,1
48,40,2
48,43,1
48,71,2
48,84,1
48,155,2
48,166,2
49,141,1
50,26,2
50,28,1
50,35,1
50,180,1
51,127,1
52,1,1
52,21,1
52,27,2
52,194,1
53,33,2
53,119,1
53,121,2
54,21,2
54,75,2
54,82,1
54,139,1
54,187,1
55,10,2
55,112,1
55,140,2
56,3,2
56,117,1
57,11,2
57,32,2
58,
59,21,2
59,54,2
59,139,2
60,1,2
60,27,1
60,52,1
61,
62,0,2
62,4,1
62,16,2
62,30,2
62,40,2
62,43,1
62,48,2
62,71,2
63,
64,5,2
64,34,2
64,122,1
65,5,2
65,64,2
66,111,1
67,9,2
67,193,1
68,25,1
69,19,1
69,35,1
69,50,2
69,110,2
70,14,2
70,17,1
71,16,2
71,30,2
71,40,2
72,13,1
72,47,2
72,83,1
73,2,1
73,15,1
74,22,2
74,53,1
74,130,2
75,21,1
75,59,2
75,86,2
75,95,2
75,139,1
75,161,1
75,169,2
76,6,2
76,196,1
77,63,2
77,160,1
77,163,2
78,24,1
78,85,2
79,
80,27,2
80,52,1
80,60,2
80,96,1
81,192,2
82,59,2
82,173,1
82,191,1
83,47,2
83,100,1
84,0,2
84,18,2
84,40,2
84,62,2
85,24,1
85,25,2
85,44,1
85,68,1
86,54,1
86,162,2
87,38,2
88,16,2
88,30,1
88,71,1
88,98,1
88,190,2
89,86,1
89,95,1
90,66,2
90,128,2
91,58,1
92,69,2
92,167,1
92,176,1
93,75,2
93,86,2
93,89,2
93,95,1
93,187,1
94,137,1
95,86,1
96,23,2
96,87,1
96,88,2
96,179,2
97,
98,0,2
98,30,2
98,38,1
98,40,2
98,48,2
98,62,1
98,71,1
98,96,1
98,179,2
98,190,2
98,198,2
99,
100,3,2
100,13,2
100,47,2
100,72,2
101,4,2
101,40,2
101,43,2
101,62,1
101,74,2
101,155,2
102,49,1
102,146,2
102,188,2
102,197,1
103,144,1
104,36,2
104,93,1
104,97,1
104,199,2
105,16,2
105,30,1
105,71,2
105,88,2
105,96,1
105,98,2
106,10,1
106,55,1
106,140,2
106,186,1
107,8,1
107,76,2
108,2,1
108,15,2
108,73,1
109,
110,92,1
110,167,2
111,10,2
111,79,2
112,106,2
112,140,1
113,34,1
113,46,2
113,122,2
114,51,2
115,10,1
115,55,1
115,106,2
115,186,1
116,3,1
116,17,1
116,37,1
116,39,1
116,56,2
117,3,2
117,39,1
117,83,2
117,116,2
117,183,1
118,5,2
118,34,2
118,64,1
118,65,1
118,151,1
119,7,2
119,172,1
120,67,1
120,77,2
120,135,2
120,137,2
121,16,1
121,22,1
121,33,1
121,74,1
122,5,2
122,34,1
122,65,2
122,118,2
123,39,1
123,56,2
123,116,1
123,117,1
123,181,2
124,103,2
124,144,1
125,22,2
125,53,1
125,119,1
125,121,1
126,
127,23,1
127,114,2
128,12,2
129,156,2
130,4,2
130,101,1
131,58,2
131,65,1
131,91,2
132,15,1
132,73,2
132,108,2
133,32,2
133,35,2
133,50,1
133,180,2
134,8,2
134,34,2
134,76,2
135,9,1
135,67,2
135,163,2
135,193,1
136,79,1
137,67,1
137,144,1
138,66,2
138,81,2
138,90,2
138,111,1
138,174,2
139,21,2
